"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"35849","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Missouri (United States)",20,"",""
"35850","Zika Virus Transmission in Infants and Children | Zika virus | CDC","District of Columbia (United States)",19,"",""
"35851","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Wisconsin (United States)",17,"",""
"35852","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Indiana (United States)",17,"",""
"35853","Zika Virus Transmission in Infants and Children | Zika virus | CDC","New Hampshire (United States)",17,"",""
"35854","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Ohio (United States)",15,"",""
"35855","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Connecticut (United States)",15,"",""
"35856","Zika Virus Transmission in Infants and Children | Zika virus | CDC","North Carolina (United States)",12,"",""
"35857","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Arizona (United States)",12,"",""
"35858","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Rhode Island (United States)",11,"",""
"35859","Zika Virus Transmission in Infants and Children | Zika virus | CDC","New South Wales (Australia)",11,"",""
"35860","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Delaware (United States)",10,"",""
"35861","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Utah (United States)",9,"",""
"35862","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Oregon (United States)",9,"",""
"35863","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Nevada (United States)",9,"",""
"35864","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Iowa (United States)",8,"",""
"35865","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Hertfordshire (United Kingdom)",8,"",""
"35866","Zika Virus Transmission in Infants and Children | Zika virus | CDC","London (United Kingdom)",7,"",""
"35867","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Curacao (Curacao)",7,"",""
"35868","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Hovedstaden (Denmark)",7,"",""
"35869","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Krung Thep Maha Nakhon Bangkok (Thailand)",7,"",""
"35870","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Saskatchewan (Canada)",7,"",""
"35871","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Louisiana (United States)",6,"",""
"35872","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Alabama (United States)",6,"",""
"35873","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Nova Scotia (Canada)",6,"",""
"35874","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Puerto Rico (Puerto Rico)",6,"",""
"35875","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Kingston (Jamaica)",6,"",""
"35876","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Western Australia (Australia)",6,"",""
"35877","Zika Virus Transmission in Infants and Children | Zika virus | CDC","South Carolina (United States)",5,"",""
"35878","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Hong Kong (Hong Kong)",5,"",""
"35879","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Nebraska (United States)",5,"",""
"35880","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Idaho (United States)",5,"",""
"35881","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Manila (Philippines)",5,"",""
"35882","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Kansas (United States)",5,"",""
"35883","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Leeds (United Kingdom)",4,"",""
"35884","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Stockholms Lan (Sweden)",4,"",""
"35885","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Tennessee (United States)",4,"",""
"35886","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Croydon (United Kingdom)",4,"",""
"35887","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Surrey (United Kingdom)",4,"",""
"35888","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Ile-De-France (France)",4,"",""
"35889","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Barnet (United Kingdom)",4,"",""
"35890","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Central (Singapore)",3,"",""
"35891","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Saint Catherine (Jamaica)",3,"",""
"35892","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Distrito Nacional (Dominican Republic)",3,"",""
"35893","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Sao Paulo (Brazil)",3,"",""
"35894","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Jalisco (Mexico)",3,"",""
"35895","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Birmingham (United Kingdom)",3,"",""
"35896","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Selangor (Malaysia)",3,"",""
"35897","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Gauteng (South Africa)",3,"",""
"35898","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Victoria (Australia)",3,"",""
"35899","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Kentucky (United States)",3,"",""
"35900","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Hawaii (United States)",3,"",""
"35901","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Cayman Islands (Cayman Islands)",3,"",""
"35902","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Managua (Nicaragua)",3,"",""
"35903","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Port of Spain (Trinidad and Tobago)",3,"",""
"35904","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Punjab (Pakistan)",3,"",""
"35905","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Dublin (Ireland)",3,"",""
"35906","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Lewisham (United Kingdom)",3,"",""
"35907","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Abu Zaby (United Arab Emirates)",3,"",""
"35908","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Aruba (Aruba)",2,"",""
"35909","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Rio De Janeiro (Brazil)",2,"",""
"35910","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Tehran (Iran (Islamic Republic of))",2,"",""
"35911","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Auckland (New Zealand)",2,"",""
"35912","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Jakarta Raya (Indonesia)",2,"",""
"35913","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Tower Hamlets (United Kingdom)",2,"",""
"35914","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Vermont (United States)",2,"",""
"35915","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Manitoba (Canada)",2,"",""
"35916","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Newfoundland and Labrador (Canada)",2,"",""
"35917","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Arkansas (United States)",2,"",""
"35918","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Western Cape (South Africa)",2,"",""
"35919","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Islington (United Kingdom)",2,"",""
"35920","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Richmond Upon Thames (United Kingdom)",2,"",""
"35921","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Pampanga (Philippines)",2,"",""
"35922","Zika Virus Transmission in Infants and Children | Zika virus | CDC","New Mexico (United States)",2,"",""
"35923","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Ha Noi (Viet Nam)",2,"",""
"35924","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Distrito Capital (Colombia)",2,"",""
"35925","Zika Virus Transmission in Infants and Children | Zika virus | CDC","New Brunswick (Canada)",2,"",""
"35926","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Scottish Borders (United Kingdom)",2,"",""
"35927","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Liverpool (United Kingdom)",2,"",""
"35928","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Upper Demerara-Berbice (Guyana)",2,"",""
"35929","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Turks and Caicos Islands (Turks and Caicos Islands)",2,"",""
"35930","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Swansea (United Kingdom)",2,"",""
"35931","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Lagos (Nigeria)",2,"",""
"35932","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Camden (United Kingdom)",2,"",""
"35933","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Chandigarh (India)",2,"",""
"35934","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Oklahoma (United States)",2,"",""
"35935","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Arima (Trinidad and Tobago)",2,"",""
"35936","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Montana (United States)",2,"",""
"35937","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Manchester (United Kingdom)",2,"",""
"35938","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Maharashtra (India)",2,"",""
"35939","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Westminster (United Kingdom)",2,"",""
"35940","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Wilayah Persekutuan Kuala Lump (Malaysia)",2,"",""
"35941","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Noord-Holland (Netherlands)",2,"",""
"35942","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Wyoming (United States)",2,"",""
"35943","Zika Virus Transmission in Infants and Children | Zika virus | CDC","South Dakota (United States)",2,"",""
"35944","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Durham (United Kingdom)",1,"",""
"35945","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Guernsey (Guernsey)",1,"",""
"35946","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Bourgogne (France)",1,"",""
"35947","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Harjumaa (Estonia)",1,"",""
"35948","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Bayern (Germany)",1,"",""
"35949","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Uttar Pradesh (India)",1,"",""
"35950","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Hillingdon (United Kingdom)",1,"",""
"35951","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Pulau Pinang (Malaysia)",1,"",""
"35952","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Omskaya Oblast (Russian Federation)",1,"",""
"35953","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Nottingham (United Kingdom)",1,"",""
"35954","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Alajuela (Costa Rica)",1,"",""
"35955","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Thurrock (United Kingdom)",1,"",""
"35956","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Goias (Brazil)",1,"",""
"35957","Zika Virus Transmission in Infants and Children | Zika virus | CDC","San Jose (Costa Rica)",1,"",""
"35958","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Seoul Teugbyeol-SI (South Korea)",1,"",""
"35959","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Waltham Forest (United Kingdom)",1,"",""
"35960","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Wolverhampton (United Kingdom)",1,"",""
"35961","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Midtjylland (Denmark)",1,"",""
"35962","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Warwickshire (United Kingdom)",1,"",""
"35963","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Saint Michael (Barbados)",1,"",""
"35964","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Brighton and Hove (United Kingdom)",1,"",""
"35965","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Bury (United Kingdom)",1,"",""
"35966","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Dubayy (United Arab Emirates)",1,"",""
"35967","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Karnataka (India)",1,"",""
"35968","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Pavia (Italy)",1,"",""
"35969","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Trafford (United Kingdom)",1,"",""
"35970","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Lambeth (United Kingdom)",1,"",""
"35971","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Kerala (India)",1,"",""
"35972","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Tamil Nadu (India)",1,"",""
"35973","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Belize (Belize)",1,"",""
"35974","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Bermuda (Bermuda)",1,"",""
"35975","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Dhaka (Bangladesh)",1,"",""
"35976","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Samut Prakan (Thailand)",1,"",""
"35977","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Maine (United States)",1,"",""
"35978","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Bedfordshire (United Kingdom)",1,"",""
"35979","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Cordoba (Spain)",1,"",""
"35980","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Daegu Gwangyeog-SI (South Korea)",1,"",""
"35981","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Nord-Pas-De-Calais (France)",1,"",""
